theme,theme_name,doc_id,source,title,notes
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,ndrc_2024_distribution_grid_high_quality_development,data/raw/policy/ndrc_2024_distribution_grid_high_quality_development.pdf,关于新形势下配电网高质量发展的指导意见,发改委/能源局政策文件；从 data/new 归档，来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,ndrc_2024_new_power_system_action_plan,data/raw/policy/ndrc_2024_new_power_system_action_plan.pdf,加快构建新型电力系统行动方案（2024—2027年）,发改委/能源局/数据局政策文件；覆盖新型电力系统、储能、新能源消纳
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,ndrc_2025_new_energy_consumption_guidance_qna,data/raw/policy/ndrc_2025_new_energy_consumption_guidance_qna.pdf,国家能源局有关负责同志就《关于促进新能源消纳和调控的指导意见》答记者问,发改委政策解读；从 data/new 归档，来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,ndrc_2025_new_energy_market_quotation_notice,data/raw/policy/ndrc_2025_new_energy_market_quotation_notice.pdf,关于优化集中式新能源发电企业市场报价的通知（试行）,发改委政策文件；从 data/new 归档，来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,ndrc_2026_generation_capacity_price_notice,data/raw/policy/ndrc_2026_generation_capacity_price_notice.pdf,关于完善发电侧容量电价机制的通知,发改委政策文件；从 data/new 归档，来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,ndrc_generation_capacity_price_qna,data/raw/policy/ndrc_generation_capacity_price_qna.pdf,国家发展改革委、国家能源局有关负责同志就完善发电侧容量电价机制答记者问,发改委政策解读；从 data/new 归档，来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,ndrc_unified_power_market_interview,data/raw/policy/ndrc_unified_power_market_interview.pdf,国家发展改革委负责同志就《关于完善全国统一电力市场体系的实施意见》接受访谈,发改委访谈材料；从 data/new 归档，来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,policy_202210114475091,data/raw/policy/202210114475091.pdf,国家发展改革委 国家能源局关于加快推动新型储能发展的指导意见,政策文件；编号式文件名，标题和来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,policy_p020210421528000000606,data/raw/policy/P020210421528000000606.pdf,附件1 国家发展改革委 国家能源局关于加快推动新型储能 发展的指导意见（征求意见稿） 积极应对气候变化，努力构建清洁低碳、安全高效能源 体系，是党中央、国务院作,政策文件；编号式文件名，标题和来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,policy_p020210421528000346108,data/raw/policy/P020210421528000346108.pdf,附件2 《国家发展改革委 国家能源局关于加快推动新型储能 发展的指导意见（征求意见稿）》 储能是构建以新能源为主体的新型电力系统、促进能源绿色 低碳转型、实现“,政策文件；编号式文件名，标题和来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,policy_p020220321550104020921,data/raw/policy/P020220321550104020921.pdf,“十四五”新型储能发展实施方案 新型储能是构建新型电力系统的重要技术和基础装备，是实 现碳达峰碳中和目标的重要支撑，也是催生国内能源新业态、抢 占国际战略新高地,政策文件；编号式文件名，标题和来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,policy_p020220323314396580505,data/raw/policy/P020220323314396580505.pdf,氢能产业发展中长期规划（2021-2035 年） 氢能是一种来源丰富、绿色低碳、应用广泛的二次能源，正逐 步成为全球能源转型发展的重要载体之一。为助力实现碳达峰,政策文件；编号式文件名，标题和来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,policy_p020220602315650388122,data/raw/policy/P020220602315650388122.pdf,“十四五”可再生能源发展规划,政策文件；编号式文件名，标题和来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,policy_p020240806534738672970,data/raw/policy/P020240806534738672970.pdf,加快构建新型电力系统行动方案（2024—2027年）,政策文件；编号式文件名，标题和来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,policy_p020250106570227369979,data/raw/policy/P020250106570227369979.pdf,电力系统调节能力优化专项行动实施方案,政策文件；编号式文件名，标题和来源链接待补充
01_energy_power_storage_grid,能源电力、新型储能、可再生能源、氢能、电网、电价、新能源消纳,policy_p020250912338143145278,data/raw/policy/P020250912338143145278.pdf,新型储能规模化建设专项行动方案,政策文件；编号式文件名，标题和来源链接待补充
